0.070 69.0 19.6 1.0
0.090 69.0 12.0 1.0
0.120 68.6 26.2 1.0
0.170 83.0 8.0 1.0
0.179 75.0 4.0 1.0
0.199 75.0 5.0 1.0
0.200 72.9 29.6 1.0
0.270 77.0 14.0 1.0
0.280 88.8 36.6 1.0
0.352 83.0 14.0 1.0
0.3802 83.0 13.5 1.0
0.400 95.0 17.0 1.0
0.4004 77.0 10.2 1.0
0.4247 87.1 11.2 1.0
0.4497 92.8 12.9 1.0
0.4783 80.9 9.0 1.0
0.480 97.0 62.0 1.0
0.593 104.0 13.0 1.0
0.680 92.0 8.0 1.0
0.781 105.0 12.0 1.0
0.875 125.0 17.0 1.0
0.880 90.0 40.0 1.0
0.900 117.0 23.0 1.0
1.037 154.0 20.0 1.0
1.300 168.0 17.0 1.0
1.363 160.0 33.6 1.0
1.430 177.0 18.0 1.0
1.530 140.0 14.0 1.0
1.750 202.0 40.0 1.0
1.965 186.5 50.4 1.0
